CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
431 - BENGKULU;473 - KCP MANNA BENGKULU;Giro;CASA;940975987,7;1.048.924.988;917742287,7;1.029.038.588;1.204.737.088;1.206.638.088;1.382.284.388;890779487,7;1.155.974.488;1.090.032.988;1.302.022.488;1.243.623.988;1.355.651.388;882408987,7;1.048.101.488;1.176.023.988;1.320.906.988;1.471.343.488
431 - BENGKULU;473 - KCP MANNA BENGKULU;Tabungan;CASA;44.006.849.150;42.345.366.764;42.703.635.821;43.393.163.032;42.779.536.382;42.210.182.766;44.827.314.874;43.868.585.641;42.910.786.556;43.013.172.639;43.119.821.873;43.471.292.080;42.313.460.642;41.975.019.463;42.859.948.653;42.925.378.335;43.672.480.315;45.670.954.600
431 - BENGKULU;474 - KCP ARGA MAKMUR;Deposito;TD;19.792.522.786;15.803.471.078;14.948.223.133;16.529.922.717;16.497.393.959;16.976.603.403;16.862.787.344;16.813.487.767;16.801.545.597;16.906.570.224;15.715.820.513;17.318.927.554;17.161.402.231;17.773.922.715;18.720.334.008;18.824.687.386;18.195.012.407;18.938.498.113
431 - BENGKULU;474 - KCP ARGA MAKMUR;Giro;CASA;539158922,7;2.901.267.586;1.153.259.885;1.267.614.802;606212328,7;783380331,7;1.115.867.782;545311272,7;583035831,6;320888526,7;297015740,1;1.181.340.931;561770871,8;575110093,4;312481351,1;401979845,5;445943549,2;419404355,4
431 - BENGKULU;474 - KCP ARGA MAKMUR;Tabungan;CASA;30.266.083.296;30.032.114.776;29.993.908.085;30.378.296.843;30.317.176.141;30.227.083.547;30.582.023.541;29.723.297.662;31.252.208.470;31.685.323.489;33.649.921.216;32.913.542.897;33.050.819.804;31.162.225.092;32.592.213.042;33.198.868.029;34.647.641.064;34.586.695.252
482 - MEDAN BARU;214 - KCP BINJAI;Deposito;TD;22.357.361.977;22.334.331.751;19.075.545.968;19.247.837.735;21.503.711.266;21.295.987.880;24.006.063.755;23.383.075.166;23.907.494.513;21.117.073.474;22.956.583.114;22.655.177.968;20.253.692.726;21.035.591.476;21.219.970.922;22.374.025.175;20.295.591.895;20.194.753.814
482 - MEDAN BARU;214 - KCP BINJAI;Giro;CASA;891890083;656042748,5;527166969,9;692202052,6;860172357;551355162;723791361;679471018,9;708998460,2;404962166,4;304472526,4;442174382,2;428984672,4;734561467;384245461,1;375353084,3;624791292,5;535036881,7
482 - MEDAN BARU;214 - KCP BINJAI;Tabungan;CASA;35.757.893.325;35.577.448.797;36.505.198.318;34.510.379.856;32.315.670.382;31.587.905.818;30.503.274.068;30.186.445.091;30.546.236.673;33.149.922.672;31.484.208.450;31.590.565.097;30.681.122.808;30.343.242.460;30.609.325.016;30.019.435.836;29.957.118.838;31.604.018.769
482 - MEDAN BARU;251 - PEMATANG SIANTAR;Deposito;TD;9.752.152.138;8.831.776.449;9.004.693.609;8.592.858.265;8.359.695.695;8.225.260.220;7.140.785.729;7.519.389.554;7.539.231.972;7.531.993.857;6.488.436.159;7.433.584.524;9.113.564.808;6.621.985.754;6.365.584.407;6.610.615.839;6.709.312.920;7.113.014.949
482 - MEDAN BARU;251 - PEMATANG SIANTAR;Giro;CASA;1.181.330.660;1.003.291.356;982036654;705495938,4;708320184,1;3.687.502.837;3.661.889.277;3.687.579.435;3.698.001.715;3.757.634.839;695049839,6;687139035,4;701927984,3;720870342,6;630154565,6;645103893,9;741673614,1;695918756,7
