CO-BRANCH;OFFICE;PRODUCT;GROUP;Dec-24;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
421 - PADANG;421 - PADANG;Tabungan;CASA;92.369;93.294;93.336;95.236;91.734;92.973;94.919;91.584;89.155;91.421;92.641;92.937;96.828;94.276;91.917;95.569;93.351;91.823;102.282
421 - PADANG;422 - KCP BUKITTINGGI;Deposito;TD;55.554;55.519;45.423;47.746;40.792;38.919;39.570;42.494;40.839;47.287;44.339;44.446;45.892;44.447;43.048;42.770;42.482;41.477;41.397
421 - PADANG;422 - KCP BUKITTINGGI;Giro;CASA;2.495;2.729;2.626;1.820;1.309;2.116;1.890;1.469;1.677;3.940;3.278;3.289;3.301;2.736;3.264;3.223;3.422;3.536;3.346
421 - PADANG;422 - KCP BUKITTINGGI;Tabungan;CASA;61.124;61.125;59.773;54.704;58.820;57.296;56.851;55.841;53.591;57.856;60.855;58.234;55.253;50.766;49.477;51.018;52.065;52.287;53.684
421 - PADANG;423 - KCP PAYAKUMBUH;Deposito;TD;47.488;57.024;61.587;52.806;54.328;54.384;56.710;58.424;55.609;54.969;54.616;52.059;68.741;51.441;50.149;44.161;41.778;42.737;47.166
421 - PADANG;423 - KCP PAYAKUMBUH;Giro;CASA;17.265;12.204;11.913;8.494;7.929;5.984;6.069;7.815;7.338;10.859;13.581;14.909;17.993;17.029;15.159;16.514;14.083;12.675;12.983
421 - PADANG;423 - KCP PAYAKUMBUH;Tabungan;CASA;40.581;39.608;40.297;42.829;44.687;43.522;45.469;43.271;42.099;43.553;45.766;54.758;50.852;48.040;41.035;39.267;41.411;45.860;46.675
421 - PADANG;424 - KCP SOLOK;Deposito;TD;20.002;19.782;16.669;14.641;14.742;14.303;14.187;14.124;12.964;14.518;14.594;14.549;16.890;17.815;17.539;15.384;15.413;16.846;16.827
421 - PADANG;424 - KCP SOLOK;Giro;CASA;1.053;979;990;1.009;1.172;1.232;1.196;890;789;451;344;468;1.317;990;1.448;1.113;1.149;1.078;1.132
421 - PADANG;424 - KCP SOLOK;Tabungan;CASA;30.892;28.771;24.555;24.138;25.067;25.462;27.988;29.875;30.059;28.342;29.017;29.424;38.585;36.937;33.783;37.755;37.062;34.131;35.325
431 - BENGKULU;431 - BENGKULU;Deposito;TD;50.421;42.370;41.740;53.132;52.870;50.195;50.370;51.936;52.278;58.262;56.012;40.142;52.558;50.737;49.204;48.757;58.320;56.599;56.587
431 - BENGKULU;431 - BENGKULU;Giro;CASA;10.878;17.819;23.206;18.953;16.562;16.624;15.660;14.555;18.796;18.330;14.834;27.893;10.083;10.043;19.912;20.683;18.323;17.862;17.977
431 - BENGKULU;431 - BENGKULU;Tabungan;CASA;84.024;82.375;84.793;84.481;83.319;83.057;82.642;81.965;80.519;81.939;84.599;86.668;89.519;83.654;81.020;82.301;82.894;82.960;82.820
431 - BENGKULU;432 - KCP CURUP;Deposito;TD;25.720;23.299;25.930;28.649;27.644;26.354;28.732;29.115;53.764;55.600;58.601;59.147;43.342;42.729;42.113;42.025;42.222;39.879;38.052
431 - BENGKULU;432 - KCP CURUP;Giro;CASA;20.721;23.132;22.407;24.017;23.777;23.479;25.310;28.531;4.326;3.956;2.752;3.205;4.007;8.079;8.089;7.858;3.753;3.079;2.028
431 - BENGKULU;432 - KCP CURUP;Tabungan;CASA;67.995;70.818;68.908;67.058;67.714;67.840;67.405;68.241;69.113;74.595;69.638;71.113;74.872;74.396;72.031;74.195;71.565;71.150;72.901
431 - BENGKULU;441 - JAMBI;Deposito;TD;30.944;31.242;32.543;28.063;25.518;25.027;24.023;24.861;25.222;25.278;24.462;24.271;24.362;25.107;23.632;23.510;24.015;24.085;24.000
431 - BENGKULU;441 - JAMBI;Giro;CASA;5.667;5.869;5.760;4.556;5.279;7.789;8.055;8.513;7.199;7.308;6.628;6.059;5.314;4.940;5.215;7.458;6.423;8.181;7.616
431 - BENGKULU;441 - JAMBI;Tabungan;CASA;72.632;72.844;68.503;70.453;70.612;69.557;70.420;68.471;66.640;67.273;65.408;67.086;66.199;64.789;62.582;62.675;62.820;63.247;63.779
431 - BENGKULU;442 - KCP MUARA BUNGO;Deposito;TD;8.447;8.296;7.966;9.815;9.990;9.846;10.621;10.753;10.419;10.759;11.422;11.145;12.557;12.615;12.318;12.189;12.657;13.220;12.043
431 - BENGKULU;442 - KCP MUARA BUNGO;Giro;CASA;336;406;434;237;316;467;558;664;434;517;395;472;527;290;397;359;609;500;526
431 - BENGKULU;442 - KCP MUARA BUNGO;Tabungan;CASA;22.469;22.385;22.322;22.932;22.981;24.791;23.039;22.867;22.426;22.707;25.768;27.418;28.611;28.329;28.183;27.880;27.318;27.426;29.392
431 - BENGKULU;473 - KCP MANNA BENGKULU;Deposito;TD;11.718;12.503;12.494;12.049;12.257;12.932;13.271;12.921;13.015;14.753;14.640;13.859;13.319;12.431;12.366;12.663;11.805;11.840;12.210
431 - BENGKULU;473 - KCP MANNA BENGKULU;Giro;CASA;875;941;1.049;918;1.029;1.205;1.207;1.382;891;1.156;1.090;1.302;1.244;1.356;882;1.048;1.176;1.321;1.383
